model	split	source_file	metric_path	value	source_directory
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.median	6.469631729494928	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.std	13.051066192259109	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.p5	1.5526863264651807	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.p95	30.24198263464946	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.ci95_low_t	9.834524093862262	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.ci95_high_t	10.460667620989478	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.ci95_low_boot	9.843272317150525	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.ci95_high_boot	10.45963226986272	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.n	6676	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.mean	0.9631161693172609	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.median	0.8730670062111501	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.std	0.53489875975317	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.p5	0.2732620362764719	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
